repository,file_path,language,extension,loc,size_bytes,change_count,history_present
flask,tests/test_apps/blueprintapp/apps/__init__.py,Python,.py,0,0,0,False
flask,tests/test_apps/blueprintapp/apps/admin/__init__.py,Python,.py,20,386,0,False
flask,tests/test_apps/blueprintapp/apps/frontend/__init__.py,Python,.py,14,341,0,False
flask,src/flask/app.py,Python,.py,1628,67100,29,True
flask,src/flask/blueprints.py,Python,.py,128,4669,4,True
flask,src/flask/cli.py,Python,.py,1127,37963,12,True
flask,src/flask/config.py,Python,.py,367,13586,3,True
flask,src/flask/ctx.py,Python,.py,540,18801,10,True
flask,src/flask/debughelpers.py,Python,.py,179,6249,2,True
flask,src/flask/globals.py,Python,.py,77,2491,1,True
flask,src/flask/helpers.py,Python,.py,682,25310,21,True
flask,src/flask/logging.py,Python,.py,79,2456,1,True
flask,src/flask/sessions.py,Python,.py,385,15354,14,True
flask,src/flask/signals.py,Python,.py,17,767,0,False
flask,src/flask/templating.py,Python,.py,212,7548,5,True
flask,src/flask/testing.py,Python,.py,298,10432,8,True
flask,src/flask/typing.py,Python,.py,87,3201,4,True
flask,src/flask/views.py,Python,.py,191,7162,5,True
flask,src/flask/wrappers.py,Python,.py,257,9663,4,True
flask,src/flask/__init__.py,Python,.py,39,2111,5,True
flask,src/flask/__main__.py,Python,.py,3,33,0,False
flask,src/flask/json/provider.py,Python,.py,215,7859,7,True
flask,src/flask/json/tag.py,Python,.py,327,9608,3,True
flask,src/flask/json/__init__.py,Python,.py,170,5753,2,True
flask,src/flask/sansio/app.py,Python,.py,1013,40508,18,True
flask,src/flask/sansio/blueprints.py,Python,.py,692,27709,3,True
flask,src/flask/sansio/scaffold.py,Python,.py,800,31433,7,True
flask,examples/celery/make_celery.py,Python,.py,4,106,0,False
flask,examples/tutorial/flaskr/auth.py,Python,.py,116,3412,2,True
flask,examples/tutorial/flaskr/blog.py,Python,.py,125,3430,2,True
flask,examples/tutorial/flaskr/db.py,Python,.py,56,1373,1,True
flask,examples/tutorial/flaskr/__init__.py,Python,.py,48,1454,3,True
flask,examples/tutorial/tests/conftest.py,Python,.py,62,1516,0,False
flask,examples/tutorial/tests/test_auth.py,Python,.py,69,2139,0,False
flask,examples/tutorial/tests/test_blog.py,Python,.py,83,2586,0,False
flask,examples/tutorial/tests/test_db.py,Python,.py,29,645,0,False
flask,examples/tutorial/tests/test_factory.py,Python,.py,12,310,0,False
flask,examples/javascript/js_example/views.py,Python,.py,18,447,2,True
flask,examples/javascript/js_example/__init__.py,Python,.py,5,96,1,True
flask,examples/javascript/tests/conftest.py,Python,.py,15,231,0,False
flask,examples/javascript/tests/test_js_example.py,Python,.py,27,754,1,True
flask,examples/celery/src/task_app/tasks.py,Python,.py,23,507,0,False
flask,examples/celery/src/task_app/views.py,Python,.py,38,992,0,False
flask,examples/celery/src/task_app/__init__.py,Python,.py,39,1063,1,True
requests,setup.py,Python,.py,9,188,19,True
requests,docs/conf.py,Python,.py,385,12533,3,True
requests,tests/compat.py,Python,.py,23,503,2,True
requests,tests/conftest.py,Python,.py,67,2001,2,True
requests,tests/test_adapters.py,Python,.py,8,322,2,True
requests,tests/test_help.py,Python,.py,27,866,2,True
requests,tests/test_hooks.py,Python,.py,22,446,1,True
requests,tests/test_lowlevel.py,Python,.py,428,15771,3,True
requests,tests/test_packages.py,Python,.py,13,242,0,False
requests,tests/test_requests.py,Python,.py,3094,111628,35,True
requests,tests/test_structures.py,Python,.py,91,2848,2,True
requests,tests/test_testserver.py,Python,.py,165,5712,2,True
requests,tests/test_utils.py,Python,.py,1013,32467,10,True
requests,tests/utils.py,Python,.py,17,383,1,True
requests,tests/__init__.py,Python,.py,14,483,2,True
requests,tests/testserver/server.py,Python,.py,176,5323,4,True
requests,tests/testserver/__init__.py,Python,.py,0,0,0,False
requests,src/requests/adapters.py,Python,.py,748,28740,17,True
requests,src/requests/api.py,Python,.py,180,7332,1,True
requests,src/requests/auth.py,Python,.py,354,12461,4,True
requests,src/requests/certs.py,Python,.py,18,448,1,True
requests,src/requests/compat.py,Python,.py,115,2609,6,True
requests,src/requests/cookies.py,Python,.py,625,22129,2,True
requests,src/requests/exceptions.py,Python,.py,162,4726,3,True
requests,src/requests/help.py,Python,.py,132,4200,4,True
requests,src/requests/hooks.py,Python,.py,48,1186,2,True
requests,src/requests/models.py,Python,.py,1184,42646,17,True
requests,src/requests/packages.py,Python,.py,23,927,5,True
requests,src/requests/sessions.py,Python,.py,920,34992,10,True
requests,src/requests/status_codes.py,Python,.py,128,4479,3,True
requests,src/requests/structures.py,Python,.py,130,4264,1,True
requests,src/requests/utils.py,Python,.py,1155,37216,18,True
requests,src/requests/_internal_utils.py,Python,.py,51,1593,3,True
requests,src/requests/_types.py,Python,.py,188,6229,7,True
requests,src/requests/__init__.py,Python,.py,219,5856,8,True
requests,src/requests/__version__.py,Python,.py,14,449,13,True
requests,docs/_themes/flask_theme_support.py,Python,.py,86,4961,0,False
pytest,bench/bench.py,Python,.py,17,400,0,False
pytest,bench/bench_argcomplete.py,Python,.py,22,653,0,False
pytest,bench/empty.py,Python,.py,5,103,0,False
pytest,bench/manyparam.py,Python,.py,16,221,0,False
pytest,bench/skip.py,Python,.py,12,178,0,False
pytest,bench/unit_test.py,Python,.py,16,307,0,False
pytest,bench/xunit.py,Python,.py,14,250,0,False
pytest,extra/get_issues.py,Python,.py,89,2459,0,False
pytest,scripts/diff-assert-rewrite.py,Python,.py,157,5926,2,True
pytest,scripts/generate-gh-release-notes.py,Python,.py,69,2224,0,False
pytest,scripts/prepare-release-pr.py,Python,.py,180,5169,0,False
pytest,scripts/release.py,Python,.py,148,5117,0,False
pytest,scripts/update-plugin-list.py,Python,.py,229,7804,0,False
pytest,src/py.py,Python,.py,15,344,0,False
pytest,testing/acceptance_test.py,Python,.py,1769,62969,1,True
pytest,testing/conftest.py,Python,.py,251,8316,3,True
pytest,testing/deprecated_test.py,Python,.py,367,12593,9,True
pytest,testing/test_argcomplete.py,Python,.py,99,3334,1,True
pytest,testing/test_assertion.py,Python,.py,3092,104590,18,True
pytest,testing/test_assertrewrite.py,Python,.py,2392,78394,13,True
pytest,testing/test_assertrewrite_coverage.py,Python,.py,1231,40925,3,True
pytest,testing/test_cacheprovider.py,Python,.py,1455,51465,2,True
pytest,testing/test_capture.py,Python,.py,1772,57678,1,True
pytest,testing/test_collection.py,Python,.py,2799,97386,0,False
pytest,testing/test_collect_imported_tests.py,Python,.py,102,2991,0,False
pytest,testing/test_compat.py,Python,.py,204,5153,0,False
pytest,testing/test_config.py,Python,.py,3508,124565,12,True
pytest,testing/test_conftest.py,Python,.py,1086,36018,6,True
pytest,testing/test_debugging.py,Python,.py,1442,48032,2,True
pytest,testing/test_doctest.py,Python,.py,1794,57213,5,True
pytest,testing/test_entry_points.py,Python,.py,10,325,0,False
pytest,testing/test_error_diffs.py,Python,.py,296,8971,1,True
pytest,testing/test_faulthandler.py,Python,.py,221,6961,0,False
pytest,testing/test_findpaths.py,Python,.py,266,10580,1,True
pytest,testing/test_helpconfig.py,Python,.py,170,5980,1,True
pytest,testing/test_junitxml.py,Python,.py,1886,63684,5,True
pytest,testing/test_legacypath.py,Python,.py,187,6056,1,True
pytest,testing/test_link_resolve.py,Python,.py,84,2463,0,False
pytest,testing/test_main.py,Python,.py,372,13169,0,False
pytest,testing/test_mark.py,Python,.py,1519,46582,5,True
pytest,testing/test_mark_expression.py,Python,.py,356,12094,2,True
pytest,testing/test_meta.py,Python,.py,34,827,0,False
pytest,testing/test_monkeypatch.py,Python,.py,501,14528,2,True
pytest,testing/test_nodes.py,Python,.py,164,5568,0,False
pytest,testing/test_parseopt.py,Python,.py,396,16605,2,True
pytest,testing/test_pastebin.py,Python,.py,212,7317,1,True
pytest,testing/test_pathlib.py,Python,.py,1791,65939,2,True
pytest,testing/test_pluginmanager.py,Python,.py,580,21581,2,True
pytest,testing/test_pytester.py,Python,.py,864,29067,1,True
pytest,testing/test_python_path.py,Python,.py,130,4195,0,False
pytest,testing/test_recwarn.py,Python,.py,655,25350,1,True
pytest,testing/test_reports.py,Python,.py,584,23224,2,True
pytest,testing/test_runner.py,Python,.py,1275,41561,0,False
pytest,testing/test_runner_xunit.py,Python,.py,297,8154,0,False
pytest,testing/test_scope.py,Python,.py,41,1423,0,False
pytest,testing/test_session.py,Python,.py,485,16020,1,True
pytest,testing/test_setuponly.py,Python,.py,321,8546,1,True
pytest,testing/test_setupplan.py,Python,.py,122,3656,0,False
pytest,testing/test_skipping.py,Python,.py,1569,47170,2,True
pytest,testing/test_stash.py,Python,.py,69,1945,0,False
pytest,testing/test_stepwise.py,Python,.py,545,16995,0,False
pytest,testing/test_subtests.py,Python,.py,1075,35923,0,False
pytest,testing/test_terminal.py,Python,.py,3578,122566,2,True
pytest,testing/test_threadexception.py,Python,.py,255,7437,0,False
pytest,testing/test_tmpdir.py,Python,.py,901,30851,9,True
pytest,testing/test_unittest.py,Python,.py,1743,53121,3,True
pytest,testing/test_unraisableexception.py,Python,.py,529,17216,1,True
pytest,testing/test_warnings.py,Python,.py,1155,39774,3,True
pytest,testing/test_warning_types.py,Python,.py,50,1558,0,False
pytest,testing/typing_checks.py,Python,.py,80,2005,1,True
pytest,testing/typing_raises_group.py,Python,.py,240,8604,0,False
pytest,testing/code/test_code.py,Python,.py,227,6260,1,True
pytest,testing/code/test_excinfo.py,Python,.py,2268,79483,6,True
pytest,testing/code/test_source.py,Python,.py,726,19047,2,True
pytest,testing/examples/test_issue519.py,Python,.py,9,248,0,False
pytest,testing/example_scripts/issue_519.py,Python,.py,54,1510,1,True
pytest,testing/example_scripts/__init__.py,Python,.py,0,0,0,False
pytest,testing/freeze/create_executable.py,Python,.py,16,479,0,False
pytest,testing/freeze/runtests_script.py,Python,.py,14,244,0,False
pytest,testing/freeze/tox_run.py,Python,.py,17,441,1,True
pytest,testing/io/test_pprint.py,Python,.py,711,21717,1,True
pytest,testing/io/test_saferepr.py,Python,.py,231,6362,0,False
pytest,testing/io/test_terminalwriter.py,Python,.py,325,10200,0,False
pytest,testing/io/test_wcwidth.py,Python,.py,40,901,0,False
pytest,testing/logging/test_fixture.py,Python,.py,544,18871,3,True
pytest,testing/logging/test_formatter.py,Python,.py,187,5594,1,True
pytest,testing/logging/test_reporting.py,Python,.py,1581,50158,1,True
pytest,testing/plugins_integration/bdd_wallet.py,Python,.py,42,723,0,False
pytest,testing/plugins_integration/django_settings.py,Python,.py,4,65,0,False
pytest,testing/plugins_integration/pytest_anyio_integration.py,Python,.py,11,172,0,False
pytest,testing/plugins_integration/pytest_asyncio_integration.py,Python,.py,11,178,0,False
pytest,testing/plugins_integration/pytest_mock_integration.py,Python,.py,6,118,0,False
pytest,testing/plugins_integration/pytest_rerunfailures_integration.py,Python,.py,13,317,0,False
pytest,testing/plugins_integration/pytest_trio_integration.py,Python,.py,11,169,0,False
pytest,testing/plugins_integration/pytest_twisted_integration.py,Python,.py,21,437,0,False
pytest,testing/plugins_integration/simple_integration.py,Python,.py,13,199,0,False
pytest,testing/python/approx.py,Python,.py,1548,58327,9,True
pytest,testing/python/collect.py,Python,.py,1751,58168,2,True
pytest,testing/python/fixtures.py,Python,.py,6224,199685,10,True
pytest,testing/python/integration.py,Python,.py,465,14541,0,False
pytest,testing/python/metafunc.py,Python,.py,2523,87423,8,True
pytest,testing/python/raises.py,Python,.py,515,19765,1,True
pytest,testing/python/raises_group.py,Python,.py,1370,57265,1,True
pytest,testing/python/show_fixtures_per_test.py,Python,.py,328,9957,0,False
pytest,testing/_py/test_local.py,Python,.py,1580,54212,1,True
pytest,testing/freeze/tests/test_trivial.py,Python,.py,10,180,0,False
pytest,testing/example_scripts/acceptance/fixture_mock_integration.py,Python,.py,21,380,0,False
pytest,testing/example_scripts/conftest_usageerror/conftest.py,Python,.py,12,235,0,False
pytest,testing/example_scripts/customdirectory/conftest.py,Python,.py,25,718,0,False
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses.py,Python,.py,16,355,0,False
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_field_comparison_off.py,Python,.py,16,398,0,False
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_verbose.py,Python,.py,16,363,0,False
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_with_custom_eq.py,Python,.py,19,444,0,False
pytest,testing/example_scripts/dataclasses/test_compare_initvar.py,Python,.py,15,275,0,False
pytest,testing/example_scripts/dataclasses/test_compare_recursive_dataclasses.py,Python,.py,47,661,0,False
pytest,testing/example_scripts/dataclasses/test_compare_two_different_dataclasses.py,Python,.py,21,539,0,False
pytest,testing/example_scripts/fixtures/test_fixture_named_request.py,Python,.py,13,155,0,False
pytest,testing/example_scripts/fixtures/test_getfixturevalue_dynamic.py,Python,.py,23,344,0,False
pytest,testing/example_scripts/issue88_initial_file_multinodes/conftest.py,Python,.py,18,405,0,False
pytest,testing/example_scripts/issue88_initial_file_multinodes/test_hello.py,Python,.py,6,97,0,False
pytest,testing/example_scripts/tmpdir/tmp_path_fixture.py,Python,.py,10,236,0,False
pytest,testing/example_scripts/unittest/test_parametrized_fixture_error_message.py,Python,.py,17,302,0,False
pytest,testing/example_scripts/unittest/test_setup_skip.py,Python,.py,17,360,0,False
pytest,testing/example_scripts/unittest/test_setup_skip_class.py,Python,.py,18,387,0,False
pytest,testing/example_scripts/unittest/test_setup_skip_module.py,Python,.py,16,313,0,False
pytest,testing/example_scripts/unittest/test_unittest_asyncio.py,Python,.py,27,657,0,False
pytest,testing/example_scripts/unittest/test_unittest_asynctest.py,Python,.py,26,496,0,False
pytest,testing/example_scripts/unittest/test_unittest_plain_async.py,Python,.py,9,172,0,False
pytest,testing/example_scripts/warnings/test_group_warnings_by_message.py,Python,.py,24,357,0,False
pytest,testing/example_scripts/warnings/test_group_warnings_by_message_summary/test_1.py,Python,.py,24,359,0,False
pytest,testing/example_scripts/warnings/test_group_warnings_by_message_summary/test_2.py,Python,.py,8,127,0,False
pytest,testing/example_scripts/perf_examples/collect_stats/generate_folders.py,Python,.py,31,950,0,False
pytest,testing/example_scripts/perf_examples/collect_stats/template_test.py,Python,.py,6,93,0,False
pytest,testing/example_scripts/marks/marks_considered_keywords/conftest.py,Python,.py,0,0,0,False
pytest,testing/example_scripts/marks/marks_considered_keywords/test_marks_as_keywords.py,Python,.py,9,131,0,False
pytest,testing/example_scripts/fixtures/custom_item/conftest.py,Python,.py,18,393,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_detect_recursive_dependency_error.py,Python,.py,18,216,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_module_class.py,Python,.py,18,297,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_basic.py,Python,.py,18,260,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookupfails.py,Python,.py,13,181,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookup_classlevel.py,Python,.py,13,267,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookup_modulelevel.py,Python,.py,18,337,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/conftest.py,Python,.py,9,134,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/conftest.py,Python,.py,9,134,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/test_extend_fixture_conftest_module.py,Python,.py,13,197,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/conftest.py,Python,.py,9,140,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/test_spam.py,Python,.py,6,121,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/__init__.py,Python,.py,0,0,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/conftest.py,Python,.py,10,215,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/test_in_sub1.py,Python,.py,6,97,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/__init__.py,Python,.py,0,0,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/conftest.py,Python,.py,11,257,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/test_in_sub2.py,Python,.py,6,97,0,False
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/__init__.py,Python,.py,0,0,0,False
pytest,testing/example_scripts/fixtures/custom_item/foo/test_foo.py,Python,.py,6,91,0,False
pytest,testing/example_scripts/fixtures/custom_item/foo/__init__.py,Python,.py,0,0,0,False
pytest,testing/example_scripts/doctest/main_py/test_normal_module.py,Python,.py,10,147,0,False
pytest,testing/example_scripts/doctest/main_py/__main__.py,Python,.py,6,114,0,False
pytest,testing/example_scripts/customdirectory/tests/test_first.py,Python,.py,7,121,0,False
pytest,testing/example_scripts/customdirectory/tests/test_second.py,Python,.py,7,122,0,False
pytest,testing/example_scripts/customdirectory/tests/test_third.py,Python,.py,7,121,0,False
pytest,testing/example_scripts/config/collect_pytest_prefix/conftest.py,Python,.py,5,75,0,False
pytest,testing/example_scripts/config/collect_pytest_prefix/test_foo.py,Python,.py,6,95,0,False
pytest,testing/example_scripts/collect/package_infinite_recursion/conftest.py,Python,.py,6,131,0,False
pytest,testing/example_scripts/collect/package_init_given_as_arg/pkg/test_foo.py,Python,.py,6,95,0,False
pytest,testing/example_scripts/collect/package_init_given_as_arg/pkg/__init__.py,Python,.py,6,96,0,False
pytest,testing/example_scripts/collect/package_infinite_recursion/tests/test_basic.py,Python,.py,6,91,0,False
pytest,testing/example_scripts/collect/package_infinite_recursion/tests/__init__.py,Python,.py,0,0,0,False
pytest,testing/example_scripts/collect/collect_init_tests/tests/test_foo.py,Python,.py,6,95,0,False
pytest,testing/example_scripts/collect/collect_init_tests/tests/__init__.py,Python,.py,6,96,0,False
pytest,src/pytest/__init__.py,Python,.py,190,5878,3,True
pytest,src/pytest/__main__.py,Python,.py,9,184,1,True
pytest,src/_pytest/approx.py,Python,.py,1016,40476,4,True
pytest,src/_pytest/cacheprovider.py,Python,.py,660,24234,1,True
pytest,src/_pytest/capture.py,Python,.py,1157,38709,2,True
pytest,src/_pytest/compat.py,Python,.py,329,10957,0,False
pytest,src/_pytest/debugging.py,Python,.py,404,14257,0,False
pytest,src/_pytest/deprecated.py,Python,.py,155,6406,11,True
pytest,src/_pytest/doctest.py,Python,.py,747,26677,3,True
pytest,src/_pytest/faulthandler.py,Python,.py,119,4369,0,False
pytest,src/_pytest/fixtures.py,Python,.py,2599,104808,20,True
pytest,src/_pytest/freeze_support.py,Python,.py,45,1345,0,False
pytest,src/_pytest/helpconfig.py,Python,.py,294,10382,1,True
pytest,src/_pytest/hookspec.py,Python,.py,1298,43398,3,True
pytest,src/_pytest/junitxml.py,Python,.py,707,26769,8,True
pytest,src/_pytest/legacypath.py,Python,.py,471,17304,1,True
pytest,src/_pytest/logging.py,Python,.py,978,37206,5,True
pytest,src/_pytest/main.py,Python,.py,1239,45293,4,True
pytest,src/_pytest/monkeypatch.py,Python,.py,430,15940,1,True
pytest,src/_pytest/nodes.py,Python,.py,771,27356,1,True
pytest,src/_pytest/outcomes.py,Python,.py,286,9085,0,False
pytest,src/_pytest/pastebin.py,Python,.py,121,4402,1,True
pytest,src/_pytest/pathlib.py,Python,.py,1105,40555,9,True
pytest,src/_pytest/pytester.py,Python,.py,1815,65293,3,True
pytest,src/_pytest/pytester_assertions.py,Python,.py,74,2327,0,False
pytest,src/_pytest/python.py,Python,.py,1842,73020,10,True
pytest,src/_pytest/raises.py,Python,.py,1507,61309,6,True
pytest,src/_pytest/recwarn.py,Python,.py,378,14208,1,True
pytest,src/_pytest/reports.py,Python,.py,694,23924,1,True
pytest,src/_pytest/runner.py,Python,.py,593,20939,2,True
pytest,src/_pytest/scope.py,Python,.py,91,2827,0,False
pytest,src/_pytest/setuponly.py,Python,.py,98,3265,0,False
pytest,src/_pytest/setupplan.py,Python,.py,39,1223,0,False
pytest,src/_pytest/skipping.py,Python,.py,321,11171,2,True
pytest,src/_pytest/stash.py,Python,.py,116,3206,0,False
pytest,src/_pytest/stepwise.py,Python,.py,209,7898,0,False
pytest,src/_pytest/subtests.py,Python,.py,418,13925,0,False
pytest,src/_pytest/terminal.py,Python,.py,1805,68195,6,True
pytest,src/_pytest/terminalprogress.py,Python,.py,30,1183,0,False
pytest,src/_pytest/threadexception.py,Python,.py,148,5040,1,True
pytest,src/_pytest/timing.py,Python,.py,97,3293,0,False
pytest,src/_pytest/tmpdir.py,Python,.py,346,13408,3,True
pytest,src/_pytest/tracemalloc.py,Python,.py,24,802,0,False
pytest,src/_pytest/unittest.py,Python,.py,651,25751,6,True
pytest,src/_pytest/unraisableexception.py,Python,.py,184,6668,3,True
pytest,src/_pytest/warnings.py,Python,.py,122,4007,1,True
pytest,src/_pytest/warning_types.py,Python,.py,166,4407,0,False
pytest,src/_pytest/_argcomplete.py,Python,.py,117,3893,0,False
pytest,src/_pytest/__init__.py,Python,.py,13,404,0,False
pytest,src/_pytest/assertion/compare_text.py,Python,.py,134,4676,4,True
pytest,src/_pytest/assertion/highlight.py,Python,.py,11,338,1,True
pytest,src/_pytest/assertion/rewrite.py,Python,.py,1185,48990,13,True
pytest,src/_pytest/assertion/truncate.py,Python,.py,159,6323,4,True
pytest,src/_pytest/assertion/util.py,Python,.py,191,7201,11,True
pytest,src/_pytest/assertion/_compare_any.py,Python,.py,139,5389,10,True
pytest,src/_pytest/assertion/_compare_mapping.py,Python,.py,72,2798,4,True
pytest,src/_pytest/assertion/_compare_sequence.py,Python,.py,96,3692,4,True
pytest,src/_pytest/assertion/_compare_set.py,Python,.py,101,2768,3,True
pytest,src/_pytest/assertion/_guards.py,Python,.py,61,2015,2,True
pytest,src/_pytest/assertion/_typing.py,Python,.py,35,1188,4,True
pytest,src/_pytest/assertion/__init__.py,Python,.py,258,9601,12,True
pytest,src/_pytest/config/argparsing.py,Python,.py,615,23347,4,True
pytest,src/_pytest/config/exceptions.py,Python,.py,15,330,0,False
pytest,src/_pytest/config/findpaths.py,Python,.py,507,18729,3,True
pytest,src/_pytest/config/__init__.py,Python,.py,2453,92440,17,True
pytest,src/_pytest/mark/expression.py,Python,.py,363,12049,2,True
pytest,src/_pytest/mark/structures.py,Python,.py,695,25205,5,True
pytest,src/_pytest/mark/__init__.py,Python,.py,323,10865,5,True
pytest,src/_pytest/_code/code.py,Python,.py,1681,62560,14,True
pytest,src/_pytest/_code/source.py,Python,.py,262,9549,4,True
pytest,src/_pytest/_code/__init__.py,Python,.py,26,547,0,False
pytest,src/_pytest/_io/pprint.py,Python,.py,698,22107,1,True
pytest,src/_pytest/_io/saferepr.py,Python,.py,155,5075,0,False
pytest,src/_pytest/_io/terminalwriter.py,Python,.py,258,9252,0,False
pytest,src/_pytest/_io/wcwidth.py,Python,.py,57,1346,0,False
pytest,src/_pytest/_io/__init__.py,Python,.py,10,200,0,False
pytest,src/_pytest/_py/error.py,Python,.py,119,3594,0,False
pytest,src/_pytest/_py/path.py,Python,.py,1475,50704,0,False
pytest,src/_pytest/_py/__init__.py,Python,.py,0,0,0,False
pytest,doc/en/conf.py,Python,.py,329,11910,2,True
pytest,doc/en/conftest.py,Python,.py,4,70,0,False
pytest,doc/en/example/conftest.py,Python,.py,4,91,0,False
pytest,doc/en/example/multipython.py,Python,.py,70,2028,0,False
pytest,doc/en/example/pythoncollection.py,Python,.py,15,251,0,False
pytest,doc/en/example/xfail_demo.py,Python,.py,41,526,0,False
pytest,doc/en/example/assertion/failure_demo.py,Python,.py,283,6004,0,False
pytest,doc/en/example/assertion/test_failures.py,Python,.py,16,480,0,False
pytest,doc/en/example/assertion/test_setup_flow_example.py,Python,.py,47,1336,0,False
pytest,doc/en/example/customdirectory/conftest.py,Python,.py,30,1101,0,False
pytest,doc/en/example/fixtures/test_fixtures_order_autouse.py,Python,.py,47,645,0,False
pytest,doc/en/example/fixtures/test_fixtures_order_autouse_multiple_scopes.py,Python,.py,33,593,0,False
pytest,doc/en/example/fixtures/test_fixtures_order_autouse_temp_effects.py,Python,.py,38,677,0,False
pytest,doc/en/example/fixtures/test_fixtures_order_dependencies.py,Python,.py,47,631,0,False
pytest,doc/en/example/fixtures/test_fixtures_order_scope.py,Python,.py,38,684,0,False
pytest,doc/en/example/fixtures/test_fixtures_request_different_scope.py,Python,.py,31,545,0,False
pytest,doc/en/example/nonpython/conftest.py,Python,.py,50,1599,0,False
pytest,doc/en/example/nonpython/__init__.py,Python,.py,0,0,0,False
pytest,doc/en/example/customdirectory/tests/test_first.py,Python,.py,6,93,0,False
pytest,doc/en/example/customdirectory/tests/test_second.py,Python,.py,6,94,0,False
pytest,doc/en/example/customdirectory/tests/test_third.py,Python,.py,6,93,0,False
pytest,doc/en/example/assertion/global_testmodule_config/conftest.py,Python,.py,17,383,0,False
