repository,file_path,language,extension,loc,size_bytes
flask,examples/celery/src/task_app/__init__.py,Python,.py,39,1063
requests,setup.py,Python,.py,9,188
requests,docs/conf.py,Python,.py,385,12533
requests,tests/compat.py,Python,.py,23,503
requests,tests/conftest.py,Python,.py,67,2001
requests,tests/test_adapters.py,Python,.py,8,322
requests,tests/test_help.py,Python,.py,27,866
requests,tests/test_hooks.py,Python,.py,22,446
requests,tests/test_lowlevel.py,Python,.py,428,15771
requests,tests/test_packages.py,Python,.py,13,242
requests,tests/test_requests.py,Python,.py,3094,111628
requests,tests/test_structures.py,Python,.py,91,2848
requests,tests/test_testserver.py,Python,.py,165,5712
requests,tests/test_utils.py,Python,.py,1013,32467
requests,tests/utils.py,Python,.py,17,383
requests,tests/__init__.py,Python,.py,14,483
requests,tests/testserver/server.py,Python,.py,176,5323
requests,tests/testserver/__init__.py,Python,.py,0,0
requests,src/requests/adapters.py,Python,.py,748,28740
requests,src/requests/api.py,Python,.py,180,7332
requests,src/requests/auth.py,Python,.py,354,12461
requests,src/requests/certs.py,Python,.py,18,448
requests,src/requests/compat.py,Python,.py,115,2609
requests,src/requests/cookies.py,Python,.py,625,22129
requests,src/requests/exceptions.py,Python,.py,162,4726
requests,src/requests/help.py,Python,.py,132,4200
requests,src/requests/hooks.py,Python,.py,48,1186
requests,src/requests/models.py,Python,.py,1184,42646
requests,src/requests/packages.py,Python,.py,23,927
requests,src/requests/sessions.py,Python,.py,920,34992
requests,src/requests/status_codes.py,Python,.py,128,4479
requests,src/requests/structures.py,Python,.py,130,4264
requests,src/requests/utils.py,Python,.py,1155,37216
requests,src/requests/_internal_utils.py,Python,.py,51,1593
requests,src/requests/_types.py,Python,.py,188,6229
requests,src/requests/__init__.py,Python,.py,219,5856
requests,src/requests/__version__.py,Python,.py,14,449
requests,docs/_themes/flask_theme_support.py,Python,.py,86,4961
pytest,bench/bench.py,Python,.py,17,400
pytest,bench/bench_argcomplete.py,Python,.py,22,653
pytest,bench/empty.py,Python,.py,5,103
pytest,bench/manyparam.py,Python,.py,16,221
pytest,bench/skip.py,Python,.py,12,178
pytest,bench/unit_test.py,Python,.py,16,307
pytest,bench/xunit.py,Python,.py,14,250
pytest,extra/get_issues.py,Python,.py,89,2459
pytest,scripts/diff-assert-rewrite.py,Python,.py,157,5926
pytest,scripts/generate-gh-release-notes.py,Python,.py,69,2224
pytest,scripts/prepare-release-pr.py,Python,.py,180,5169
pytest,scripts/release.py,Python,.py,148,5117
pytest,scripts/update-plugin-list.py,Python,.py,229,7804
pytest,src/py.py,Python,.py,15,344
pytest,testing/acceptance_test.py,Python,.py,1769,62969
pytest,testing/conftest.py,Python,.py,251,8316
pytest,testing/deprecated_test.py,Python,.py,367,12593
pytest,testing/test_argcomplete.py,Python,.py,99,3334
pytest,testing/test_assertion.py,Python,.py,3092,104590
pytest,testing/test_assertrewrite.py,Python,.py,2392,78394
pytest,testing/test_assertrewrite_coverage.py,Python,.py,1231,40925
pytest,testing/test_cacheprovider.py,Python,.py,1455,51465
pytest,testing/test_capture.py,Python,.py,1772,57678
pytest,testing/test_collection.py,Python,.py,2799,97386
pytest,testing/test_collect_imported_tests.py,Python,.py,102,2991
pytest,testing/test_compat.py,Python,.py,204,5153
pytest,testing/test_config.py,Python,.py,3508,124565
pytest,testing/test_conftest.py,Python,.py,1086,36018
pytest,testing/test_debugging.py,Python,.py,1442,48032
pytest,testing/test_doctest.py,Python,.py,1794,57213
pytest,testing/test_entry_points.py,Python,.py,10,325
pytest,testing/test_error_diffs.py,Python,.py,296,8971
pytest,testing/test_faulthandler.py,Python,.py,221,6961
pytest,testing/test_findpaths.py,Python,.py,266,10580
pytest,testing/test_helpconfig.py,Python,.py,170,5980
pytest,testing/test_junitxml.py,Python,.py,1886,63684
pytest,testing/test_legacypath.py,Python,.py,187,6056
pytest,testing/test_link_resolve.py,Python,.py,84,2463
pytest,testing/test_main.py,Python,.py,372,13169
pytest,testing/test_mark.py,Python,.py,1519,46582
pytest,testing/test_mark_expression.py,Python,.py,356,12094
pytest,testing/test_meta.py,Python,.py,34,827
pytest,testing/test_monkeypatch.py,Python,.py,501,14528
pytest,testing/test_nodes.py,Python,.py,164,5568
pytest,testing/test_parseopt.py,Python,.py,396,16605
pytest,testing/test_pastebin.py,Python,.py,212,7317
pytest,testing/test_pathlib.py,Python,.py,1791,65939
pytest,testing/test_pluginmanager.py,Python,.py,580,21581
pytest,testing/test_pytester.py,Python,.py,864,29067
pytest,testing/test_python_path.py,Python,.py,130,4195
pytest,testing/test_recwarn.py,Python,.py,655,25350
pytest,testing/test_reports.py,Python,.py,584,23224
pytest,testing/test_runner.py,Python,.py,1275,41561
pytest,testing/test_runner_xunit.py,Python,.py,297,8154
pytest,testing/test_scope.py,Python,.py,41,1423
pytest,testing/test_session.py,Python,.py,485,16020
pytest,testing/test_setuponly.py,Python,.py,321,8546
pytest,testing/test_setupplan.py,Python,.py,122,3656
pytest,testing/test_skipping.py,Python,.py,1569,47170
pytest,testing/test_stash.py,Python,.py,69,1945
pytest,testing/test_stepwise.py,Python,.py,545,16995
pytest,testing/test_subtests.py,Python,.py,1075,35923
pytest,testing/test_terminal.py,Python,.py,3578,122566
pytest,testing/test_threadexception.py,Python,.py,255,7437
pytest,testing/test_tmpdir.py,Python,.py,901,30851
pytest,testing/test_unittest.py,Python,.py,1743,53121
pytest,testing/test_unraisableexception.py,Python,.py,529,17216
pytest,testing/test_warnings.py,Python,.py,1155,39774
pytest,testing/test_warning_types.py,Python,.py,50,1558
pytest,testing/typing_checks.py,Python,.py,80,2005
pytest,testing/typing_raises_group.py,Python,.py,240,8604
pytest,testing/code/test_code.py,Python,.py,227,6260
pytest,testing/code/test_excinfo.py,Python,.py,2268,79483
pytest,testing/code/test_source.py,Python,.py,726,19047
pytest,testing/examples/test_issue519.py,Python,.py,9,248
pytest,testing/example_scripts/issue_519.py,Python,.py,54,1510
pytest,testing/example_scripts/__init__.py,Python,.py,0,0
pytest,testing/freeze/create_executable.py,Python,.py,16,479
pytest,testing/freeze/runtests_script.py,Python,.py,14,244
pytest,testing/freeze/tox_run.py,Python,.py,17,441
pytest,testing/io/test_pprint.py,Python,.py,711,21717
pytest,testing/io/test_saferepr.py,Python,.py,231,6362
pytest,testing/io/test_terminalwriter.py,Python,.py,325,10200
pytest,testing/io/test_wcwidth.py,Python,.py,40,901
pytest,testing/logging/test_fixture.py,Python,.py,544,18871
pytest,testing/logging/test_formatter.py,Python,.py,187,5594
pytest,testing/logging/test_reporting.py,Python,.py,1581,50158
pytest,testing/plugins_integration/bdd_wallet.py,Python,.py,42,723
pytest,testing/plugins_integration/django_settings.py,Python,.py,4,65
pytest,testing/plugins_integration/pytest_anyio_integration.py,Python,.py,11,172
pytest,testing/plugins_integration/pytest_asyncio_integration.py,Python,.py,11,178
pytest,testing/plugins_integration/pytest_mock_integration.py,Python,.py,6,118
pytest,testing/plugins_integration/pytest_rerunfailures_integration.py,Python,.py,13,317
pytest,testing/plugins_integration/pytest_trio_integration.py,Python,.py,11,169
pytest,testing/plugins_integration/pytest_twisted_integration.py,Python,.py,21,437
pytest,testing/plugins_integration/simple_integration.py,Python,.py,13,199
pytest,testing/python/approx.py,Python,.py,1548,58327
pytest,testing/python/collect.py,Python,.py,1751,58168
pytest,testing/python/fixtures.py,Python,.py,6224,199685
pytest,testing/python/integration.py,Python,.py,465,14541
pytest,testing/python/metafunc.py,Python,.py,2523,87423
pytest,testing/python/raises.py,Python,.py,515,19765
pytest,testing/python/raises_group.py,Python,.py,1370,57265
pytest,testing/python/show_fixtures_per_test.py,Python,.py,328,9957
pytest,testing/_py/test_local.py,Python,.py,1580,54212
pytest,testing/freeze/tests/test_trivial.py,Python,.py,10,180
pytest,testing/example_scripts/acceptance/fixture_mock_integration.py,Python,.py,21,380
pytest,testing/example_scripts/conftest_usageerror/conftest.py,Python,.py,12,235
pytest,testing/example_scripts/customdirectory/conftest.py,Python,.py,25,718
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses.py,Python,.py,16,355
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_field_comparison_off.py,Python,.py,16,398
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_verbose.py,Python,.py,16,363
pytest,testing/example_scripts/dataclasses/test_compare_dataclasses_with_custom_eq.py,Python,.py,19,444
pytest,testing/example_scripts/dataclasses/test_compare_initvar.py,Python,.py,15,275
pytest,testing/example_scripts/dataclasses/test_compare_recursive_dataclasses.py,Python,.py,47,661
pytest,testing/example_scripts/dataclasses/test_compare_two_different_dataclasses.py,Python,.py,21,539
pytest,testing/example_scripts/fixtures/test_fixture_named_request.py,Python,.py,13,155
pytest,testing/example_scripts/fixtures/test_getfixturevalue_dynamic.py,Python,.py,23,344
pytest,testing/example_scripts/issue88_initial_file_multinodes/conftest.py,Python,.py,18,405
pytest,testing/example_scripts/issue88_initial_file_multinodes/test_hello.py,Python,.py,6,97
pytest,testing/example_scripts/tmpdir/tmp_path_fixture.py,Python,.py,10,236
pytest,testing/example_scripts/unittest/test_parametrized_fixture_error_message.py,Python,.py,17,302
pytest,testing/example_scripts/unittest/test_setup_skip.py,Python,.py,17,360
pytest,testing/example_scripts/unittest/test_setup_skip_class.py,Python,.py,18,387
pytest,testing/example_scripts/unittest/test_setup_skip_module.py,Python,.py,16,313
pytest,testing/example_scripts/unittest/test_unittest_asyncio.py,Python,.py,27,657
pytest,testing/example_scripts/unittest/test_unittest_asynctest.py,Python,.py,26,496
pytest,testing/example_scripts/unittest/test_unittest_plain_async.py,Python,.py,9,172
pytest,testing/example_scripts/warnings/test_group_warnings_by_message.py,Python,.py,24,357
pytest,testing/example_scripts/warnings/test_group_warnings_by_message_summary/test_1.py,Python,.py,24,359
pytest,testing/example_scripts/warnings/test_group_warnings_by_message_summary/test_2.py,Python,.py,8,127
pytest,testing/example_scripts/perf_examples/collect_stats/generate_folders.py,Python,.py,31,950
pytest,testing/example_scripts/perf_examples/collect_stats/template_test.py,Python,.py,6,93
pytest,testing/example_scripts/marks/marks_considered_keywords/conftest.py,Python,.py,0,0
pytest,testing/example_scripts/marks/marks_considered_keywords/test_marks_as_keywords.py,Python,.py,9,131
pytest,testing/example_scripts/fixtures/custom_item/conftest.py,Python,.py,18,393
pytest,testing/example_scripts/fixtures/fill_fixtures/test_detect_recursive_dependency_error.py,Python,.py,18,216
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_module_class.py,Python,.py,18,297
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_basic.py,Python,.py,18,260
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookupfails.py,Python,.py,13,181
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookup_classlevel.py,Python,.py,13,267
pytest,testing/example_scripts/fixtures/fill_fixtures/test_funcarg_lookup_modulelevel.py,Python,.py,18,337
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/conftest.py,Python,.py,9,134
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/conftest.py,Python,.py,9,134
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/test_extend_fixture_conftest_module.py,Python,.py,13,197
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/conftest.py,Python,.py,9,140
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/test_spam.py,Python,.py,6,121
pytest,testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/conftest.py,Python,.py,10,215
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/test_in_sub1.py,Python,.py,6,97
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/conftest.py,Python,.py,11,257
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/test_in_sub2.py,Python,.py,6,97
pytest,testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/fixtures/custom_item/foo/test_foo.py,Python,.py,6,91
pytest,testing/example_scripts/fixtures/custom_item/foo/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/doctest/main_py/test_normal_module.py,Python,.py,10,147
pytest,testing/example_scripts/doctest/main_py/__main__.py,Python,.py,6,114
pytest,testing/example_scripts/customdirectory/tests/test_first.py,Python,.py,7,121
pytest,testing/example_scripts/customdirectory/tests/test_second.py,Python,.py,7,122
pytest,testing/example_scripts/customdirectory/tests/test_third.py,Python,.py,7,121
pytest,testing/example_scripts/config/collect_pytest_prefix/conftest.py,Python,.py,5,75
pytest,testing/example_scripts/config/collect_pytest_prefix/test_foo.py,Python,.py,6,95
pytest,testing/example_scripts/collect/package_infinite_recursion/conftest.py,Python,.py,6,131
pytest,testing/example_scripts/collect/package_init_given_as_arg/pkg/test_foo.py,Python,.py,6,95
pytest,testing/example_scripts/collect/package_init_given_as_arg/pkg/__init__.py,Python,.py,6,96
pytest,testing/example_scripts/collect/package_infinite_recursion/tests/test_basic.py,Python,.py,6,91
pytest,testing/example_scripts/collect/package_infinite_recursion/tests/__init__.py,Python,.py,0,0
pytest,testing/example_scripts/collect/collect_init_tests/tests/test_foo.py,Python,.py,6,95
pytest,testing/example_scripts/collect/collect_init_tests/tests/__init__.py,Python,.py,6,96
pytest,src/pytest/__init__.py,Python,.py,190,5878
pytest,src/pytest/__main__.py,Python,.py,9,184
pytest,src/_pytest/approx.py,Python,.py,1016,40476
pytest,src/_pytest/cacheprovider.py,Python,.py,660,24234
pytest,src/_pytest/capture.py,Python,.py,1157,38709
pytest,src/_pytest/compat.py,Python,.py,329,10957
pytest,src/_pytest/debugging.py,Python,.py,404,14257
pytest,src/_pytest/deprecated.py,Python,.py,155,6406
pytest,src/_pytest/doctest.py,Python,.py,747,26677
pytest,src/_pytest/faulthandler.py,Python,.py,119,4369
pytest,src/_pytest/fixtures.py,Python,.py,2599,104808
pytest,src/_pytest/freeze_support.py,Python,.py,45,1345
pytest,src/_pytest/helpconfig.py,Python,.py,294,10382
pytest,src/_pytest/hookspec.py,Python,.py,1298,43398
pytest,src/_pytest/junitxml.py,Python,.py,707,26769
pytest,src/_pytest/legacypath.py,Python,.py,471,17304
pytest,src/_pytest/logging.py,Python,.py,978,37206
pytest,src/_pytest/main.py,Python,.py,1239,45293
pytest,src/_pytest/monkeypatch.py,Python,.py,430,15940
pytest,src/_pytest/nodes.py,Python,.py,771,27356
pytest,src/_pytest/outcomes.py,Python,.py,286,9085
pytest,src/_pytest/pastebin.py,Python,.py,121,4402
pytest,src/_pytest/pathlib.py,Python,.py,1105,40555
pytest,src/_pytest/pytester.py,Python,.py,1815,65293
pytest,src/_pytest/pytester_assertions.py,Python,.py,74,2327
pytest,src/_pytest/python.py,Python,.py,1842,73020
pytest,src/_pytest/raises.py,Python,.py,1507,61309
pytest,src/_pytest/recwarn.py,Python,.py,378,14208
pytest,src/_pytest/reports.py,Python,.py,694,23924
pytest,src/_pytest/runner.py,Python,.py,593,20939
pytest,src/_pytest/scope.py,Python,.py,91,2827
pytest,src/_pytest/setuponly.py,Python,.py,98,3265
pytest,src/_pytest/setupplan.py,Python,.py,39,1223
pytest,src/_pytest/skipping.py,Python,.py,321,11171
pytest,src/_pytest/stash.py,Python,.py,116,3206
pytest,src/_pytest/stepwise.py,Python,.py,209,7898
pytest,src/_pytest/subtests.py,Python,.py,418,13925
pytest,src/_pytest/terminal.py,Python,.py,1805,68195
pytest,src/_pytest/terminalprogress.py,Python,.py,30,1183
pytest,src/_pytest/threadexception.py,Python,.py,148,5040
pytest,src/_pytest/timing.py,Python,.py,97,3293
pytest,src/_pytest/tmpdir.py,Python,.py,346,13408
pytest,src/_pytest/tracemalloc.py,Python,.py,24,802
pytest,src/_pytest/unittest.py,Python,.py,651,25751
pytest,src/_pytest/unraisableexception.py,Python,.py,184,6668
pytest,src/_pytest/warnings.py,Python,.py,122,4007
pytest,src/_pytest/warning_types.py,Python,.py,166,4407
pytest,src/_pytest/_argcomplete.py,Python,.py,117,3893
pytest,src/_pytest/__init__.py,Python,.py,13,404
pytest,src/_pytest/assertion/compare_text.py,Python,.py,134,4676
pytest,src/_pytest/assertion/highlight.py,Python,.py,11,338
pytest,src/_pytest/assertion/rewrite.py,Python,.py,1185,48990
pytest,src/_pytest/assertion/truncate.py,Python,.py,159,6323
pytest,src/_pytest/assertion/util.py,Python,.py,191,7201
pytest,src/_pytest/assertion/_compare_any.py,Python,.py,139,5389
pytest,src/_pytest/assertion/_compare_mapping.py,Python,.py,72,2798
pytest,src/_pytest/assertion/_compare_sequence.py,Python,.py,96,3692
pytest,src/_pytest/assertion/_compare_set.py,Python,.py,101,2768
pytest,src/_pytest/assertion/_guards.py,Python,.py,61,2015
pytest,src/_pytest/assertion/_typing.py,Python,.py,35,1188
pytest,src/_pytest/assertion/__init__.py,Python,.py,258,9601
pytest,src/_pytest/config/argparsing.py,Python,.py,615,23347
pytest,src/_pytest/config/exceptions.py,Python,.py,15,330
pytest,src/_pytest/config/findpaths.py,Python,.py,507,18729
pytest,src/_pytest/config/__init__.py,Python,.py,2453,92440
pytest,src/_pytest/mark/expression.py,Python,.py,363,12049
pytest,src/_pytest/mark/structures.py,Python,.py,695,25205
pytest,src/_pytest/mark/__init__.py,Python,.py,323,10865
pytest,src/_pytest/_code/code.py,Python,.py,1681,62560
pytest,src/_pytest/_code/source.py,Python,.py,262,9549
pytest,src/_pytest/_code/__init__.py,Python,.py,26,547
pytest,src/_pytest/_io/pprint.py,Python,.py,698,22107
pytest,src/_pytest/_io/saferepr.py,Python,.py,155,5075
pytest,src/_pytest/_io/terminalwriter.py,Python,.py,258,9252
pytest,src/_pytest/_io/wcwidth.py,Python,.py,57,1346
pytest,src/_pytest/_io/__init__.py,Python,.py,10,200
pytest,src/_pytest/_py/error.py,Python,.py,119,3594
pytest,src/_pytest/_py/path.py,Python,.py,1475,50704
pytest,src/_pytest/_py/__init__.py,Python,.py,0,0
pytest,doc/en/conf.py,Python,.py,329,11910
pytest,doc/en/conftest.py,Python,.py,4,70
pytest,doc/en/example/conftest.py,Python,.py,4,91
pytest,doc/en/example/multipython.py,Python,.py,70,2028
pytest,doc/en/example/pythoncollection.py,Python,.py,15,251
pytest,doc/en/example/xfail_demo.py,Python,.py,41,526
pytest,doc/en/example/assertion/failure_demo.py,Python,.py,283,6004
pytest,doc/en/example/assertion/test_failures.py,Python,.py,16,480
pytest,doc/en/example/assertion/test_setup_flow_example.py,Python,.py,47,1336
pytest,doc/en/example/customdirectory/conftest.py,Python,.py,30,1101
pytest,doc/en/example/fixtures/test_fixtures_order_autouse.py,Python,.py,47,645
pytest,doc/en/example/fixtures/test_fixtures_order_autouse_multiple_scopes.py,Python,.py,33,593
pytest,doc/en/example/fixtures/test_fixtures_order_autouse_temp_effects.py,Python,.py,38,677
pytest,doc/en/example/fixtures/test_fixtures_order_dependencies.py,Python,.py,47,631
pytest,doc/en/example/fixtures/test_fixtures_order_scope.py,Python,.py,38,684
pytest,doc/en/example/fixtures/test_fixtures_request_different_scope.py,Python,.py,31,545
pytest,doc/en/example/nonpython/conftest.py,Python,.py,50,1599
pytest,doc/en/example/nonpython/__init__.py,Python,.py,0,0
pytest,doc/en/example/customdirectory/tests/test_first.py,Python,.py,6,93
pytest,doc/en/example/customdirectory/tests/test_second.py,Python,.py,6,94
pytest,doc/en/example/customdirectory/tests/test_third.py,Python,.py,6,93
pytest,doc/en/example/assertion/global_testmodule_config/conftest.py,Python,.py,17,383
pytest,doc/en/example/assertion/global_testmodule_config/test_hello_world.py,Python,.py,8,89
fastapi,fastapi/applications.py,Python,.py,4774,188614
fastapi,fastapi/background.py,Python,.py,61,1881
fastapi,fastapi/cli.py,Python,.py,13,467
fastapi,fastapi/concurrency.py,Python,.py,41,1530
fastapi,fastapi/datastructures.py,Python,.py,186,5507
fastapi,fastapi/encoders.py,Python,.py,366,12079
fastapi,fastapi/exceptions.py,Python,.py,256,7709
fastapi,fastapi/exception_handlers.py,Python,.py,34,1309
fastapi,fastapi/logger.py,Python,.py,3,57
fastapi,fastapi/params.py,Python,.py,754,26959
fastapi,fastapi/param_functions.py,Python,.py,2460,72056
fastapi,fastapi/requests.py,Python,.py,2,144
fastapi,fastapi/responses.py,Python,.py,98,4242
fastapi,fastapi/routing.py,Python,.py,6447,262079
fastapi,fastapi/sse.py,Python,.py,241,7324
fastapi,fastapi/staticfiles.py,Python,.py,1,70
fastapi,fastapi/templating.py,Python,.py,1,77
fastapi,fastapi/testclient.py,Python,.py,1,67
fastapi,fastapi/types.py,Python,.py,12,450
fastapi,fastapi/utils.py,Python,.py,136,4477
fastapi,fastapi/websockets.py,Python,.py,3,225
fastapi,fastapi/__init__.py,Python,.py,25,1106
fastapi,fastapi/__main__.py,Python,.py,3,40
fastapi,scripts/add_latest_release_date.py,Python,.py,40,1063
fastapi,scripts/deploy_docs_status.py,Python,.py,149,4701
fastapi,scripts/docs.py,Python,.py,919,33323
fastapi,scripts/doc_parsing_utils.py,Python,.py,733,24854
fastapi,scripts/label_approved.py,Python,.py,60,2305
fastapi,scripts/notify_translations.py,Python,.py,433,13394
fastapi,scripts/prepare_release.py,Python,.py,216,6883
fastapi,scripts/sponsors.py,Python,.py,222,6467
fastapi,scripts/topic_repos.py,Python,.py,81,2885
fastapi,scripts/translate.py,Python,.py,486,17425
fastapi,scripts/translation_fixer.py,Python,.py,133,3444
fastapi,scripts/translation_git.py,Python,.py,47,1361
fastapi,tests/forward_reference_type.py,Python,.py,9,205
fastapi,tests/main.py,Python,.py,208,4766
fastapi,tests/test_additional_properties.py,Python,.py,114,4352
fastapi,tests/test_additional_properties_bool.py,Python,.py,125,4476
fastapi,tests/test_additional_responses_bad.py,Python,.py,40,1157
fastapi,tests/test_additional_responses_custom_model_in_callback.py,Python,.py,147,6175
fastapi,tests/test_additional_responses_custom_validationerror.py,Python,.py,100,3353
fastapi,tests/test_additional_responses_default_validationerror.py,Python,.py,91,3500
fastapi,tests/test_additional_responses_response_class.py,Python,.py,117,4004
fastapi,tests/test_additional_responses_router.py,Python,.py,182,5886
fastapi,tests/test_additional_responses_union_duplicate_anyof.py,Python,.py,124,4529
fastapi,tests/test_additional_response_extra.py,Python,.py,52,1388
fastapi,tests/test_allow_inf_nan_in_enforcing.py,Python,.py,84,1907
fastapi,tests/test_ambiguous_params.py,Python,.py,74,2146
fastapi,tests/test_annotated.py,Python,.py,298,11023
fastapi,tests/test_application.py,Python,.py,1285,59581
fastapi,tests/test_arbitrary_types.py,Python,.py,135,4021
fastapi,tests/test_callable_endpoint.py,Python,.py,24,450
fastapi,tests/test_compat.py,Python,.py,140,4721
